source,eval_session,run_id,instance_id,resolved,patch_exists,patch_successfully_applied,report_path
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__smoke2,lite83__gpt53-codex__local_cached__t1_pnone_c0,astropy__astropy-12907,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__smoke2/lite83__gpt53-codex__local_cached__t1_pnone_c0/astropy__astropy-12907/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__smoke2,lite83__gpt53-codex__local_cached__t1_pnone_c0,django__django-10914,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__smoke2/lite83__gpt53-codex__local_cached__t1_pnone_c0/django__django-10914/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,astropy__astropy-12907,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/astropy__astropy-12907/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,astropy__astropy-14182,false,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/astropy__astropy-14182/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,astropy__astropy-14365,false,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/astropy__astropy-14365/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,astropy__astropy-14995,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/astropy__astropy-14995/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,django__django-10914,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/django__django-10914/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,django__django-11099,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/django__django-11099/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,django__django-11133,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/django__django-11133/report.json
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,django__django-11179,true,True,True,results/evaluation_history/from_swe_agent_src/session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted/lite83__gpt53-codex__local_cached__t1_pnone_c0/django__django-11179/report.json
